Contrast,Lipid_Class,Tentative_Lipid_ID,logFoldC,AveExpr,t,P.Value,adjP,B,Sig.Level,MetaboAnalysisDate
PFHxA,LPE,LPE(22:4),-0.727,-2.99E-16,-2.7799,0.0057572,0.063597,-2.3413,<0.1,102023
PFHxA,LPE,LPE(24:6),-0.668,2.19E-16,-2.5707,0.010599,0.063597,-2.8466,<0.1,102023
PFHxA,LPE,LPE(18:1),-0.654,-2.60E-16,-2.4168,0.016213,0.064854,-3.194,<0.1,102023
MIX,LPE,LPE(22:4),NA,NA,NA,NA,NA,NA,NA,NA
MIX,LPE,LPE(24:6),NA,NA,NA,NA,NA,NA,NA,NA
MIX,LPE,LPE(18:1),NA,NA,NA,NA,NA,NA,NA,NA
PFOA,LPE,LPE(22:4),NA,NA,NA,NA,NA,NA,NA,NA
PFOA,LPE,LPE(24:6),NA,NA,NA,NA,NA,NA,NA,NA
PFOA,LPE,LPE(18:1),NA,NA,NA,NA,NA,NA,NA,NA
PFOS,LPE,LPE(22:4),NA,NA,NA,NA,NA,NA,NA,NA
PFOS,LPE,LPE(24:6),NA,NA,NA,NA,NA,NA,NA,NA
PFOS,LPE,LPE(18:1),NA,NA,NA,NA,NA,NA,NA,NA
PFHxS,LPE,"LPE(18:2),LPE(P-19:1)",-0.902,-4.91E-17,-3.3275,0.00097804,0.011736,-0.94554,<0.05,102023
PFHxS,LPE,LPE(20:3),-0.705,-2.92E-17,-2.5908,0.010011,0.060069,-2.9788,<0.1,102023
PFHxS,LPE,LPE(24:6),-0.62,2.19E-16,-2.3696,0.018397,0.061135,-3.495,<0.1,102023
PFHxS,LPE,LPE(22:4),-0.612,-2.99E-16,-2.3235,0.020778,0.061135,-3.5971,<0.1,102023
PFHxS,LPE,LPE(16:1),-0.603,-2.77E-17,-2.2446,0.025473,0.061135,-3.767,<0.1,102023
PFHxS,LPE,LPE(22:5),-0.581,3.69E-16,-2.0987,0.036628,0.063818,-4.0666,<0.1,102023
PFHxS,LPE,LPE(20:5),-0.564,-6.66E-17,-2.092,0.037227,0.063818,-4.0799,<0.1,102023
PFHxS,LPE,LPE(18:1),-0.554,-2.60E-16,-2.0299,0.043186,0.064778,-4.2009,<0.1,102023
MIX,LPE,"LPE(18:2),LPE(P-19:1)",NA,NA,NA,NA,NA,NA,NA,NA
MIX,LPE,LPE(20:3),NA,NA,NA,NA,NA,NA,NA,NA
MIX,LPE,LPE(24:6),NA,NA,NA,NA,NA,NA,NA,NA
MIX,LPE,LPE(22:4),NA,NA,NA,NA,NA,NA,NA,NA
MIX,LPE,LPE(16:1),NA,NA,NA,NA,NA,NA,NA,NA
MIX,LPE,LPE(22:5),NA,NA,NA,NA,NA,NA,NA,NA
MIX,LPE,LPE(20:5),NA,NA,NA,NA,NA,NA,NA,NA
MIX,LPE,LPE(18:1),NA,NA,NA,NA,NA,NA,NA,NA
