Contrast,Method,Lipid_Class,Sig.Level,Tentative_Lipid_ID,logFC,t,P.Value,adj.P.Val,B,Sig.Level,MetaboAnalysisDate,ExclusionVersion,AveExpr
MIX,1,LPC,NA,"LPC(16:1),LPC(P-17:0)",NA,NA,NA,NA,NA,NA,NA,EB,NA
MIX,1,LPC,NA,"LPC(17:1),LPC(O-18:1),LPC(P-18:0)",NA,NA,NA,NA,NA,NA,NA,EB,NA
MIX,1,LPC,NA,LPC(19:3),NA,NA,NA,NA,NA,NA,NA,EB,NA
MIX,1,LPC,NA,"LPC(20:2),PC(O-20:2)",NA,NA,NA,NA,NA,NA,NA,EB,NA
MIX,1,LPC,NA,LPC(20:3),NA,NA,NA,NA,NA,NA,NA,EB,NA
MIX,1,LPC,NA,LPC(22:4),NA,NA,NA,NA,NA,NA,NA,EB,NA
MIX,1,LPC,NA,LPC(22:5),NA,NA,NA,NA,NA,NA,NA,EB,NA
MIX,1,LPC,NA,LPC(24:1),NA,NA,NA,NA,NA,NA,NA,EB,NA
MIX,1,LPE,NA,LPE(20:1),NA,NA,NA,NA,NA,NA,NA,EB,NA
MIX,1,LPE,NA,LPE(20:3),NA,NA,NA,NA,NA,NA,NA,EB,NA
MIX,1,LPE,NA,LPE(20:4),NA,NA,NA,NA,NA,NA,NA,EB,NA
MIX,1,LPE,NA,LPE(20:5),NA,NA,NA,NA,NA,NA,NA,EB,NA
MIX,1,LPE,NA,LPE(22:4),NA,NA,NA,NA,NA,NA,NA,EB,NA
MIX,1,LPE,NA,LPE(22:5),NA,NA,NA,NA,NA,NA,NA,EB,NA
MIX,1,LPE,NA,LPE(22:6),NA,NA,NA,NA,NA,NA,NA,EB,NA
MIX,1,PC,NA,"PC(30:2),PC(P-31:1)",NA,NA,NA,NA,NA,NA,12524,E3,NA
MIX,1,PC,NA,"PC(31:0),PC(O-32:0)",NA,NA,NA,NA,NA,NA,12524,E3,NA
MIX,1,PC,NA,"PC(32:0),PC(O-33:0)",NA,NA,NA,NA,NA,NA,12524,E3,NA
MIX,1,PC,NA,"PC(32:1),PC(O-33:1),PC(P-33:0)",NA,NA,NA,NA,NA,NA,12524,E3,NA
MIX,1,PC,NA,"PC(32:2),PC(O-33:2),PC(P-33:1)",NA,NA,NA,NA,NA,NA,12524,E3,NA
MIX,1,PC,NA,"PC(33:0),PC(O-34:0)",NA,NA,NA,NA,NA,NA,12524,E3,NA
MIX,1,PC,NA,"PC(33:0),PC(O-34:0)",NA,NA,NA,NA,NA,NA,12524,E3,NA
MIX,1,PC,NA,"PC(33:1),PC(O-34:1),PC(P-34:0)",NA,NA,NA,NA,NA,NA,12524,E3,NA
MIX,1,PC,NA,"PC(33:2),PC(O-34:2),PC(P-34:1)",NA,NA,NA,NA,NA,NA,12524,E3,NA
MIX,1,PC,NA,"PC(34:0),PC(O-35:0)",NA,NA,NA,NA,NA,NA,12524,E3,NA
MIX,1,PC,NA,"PC(34:1),PC(O-35:1),PC(P-35:0)",NA,NA,NA,NA,NA,NA,12524,E3,NA
MIX,1,PC,NA,"PC(34:2),PC(O-35:2),PC(P-35:1)",NA,NA,NA,NA,NA,NA,12524,E3,NA
MIX,1,PC,NA,"PC(34:3),PC(P-35:2)",NA,NA,NA,NA,NA,NA,12524,E3,NA
MIX,1,PC,NA,"PC(35:2),PC(O-36:2),PC(P-36:1)",NA,NA,NA,NA,NA,NA,12524,E3,NA
MIX,1,PC,NA,"PC(35:3),PC(O-36:3),PC(P-36:2)",NA,NA,NA,NA,NA,NA,12524,E3,NA
MIX,1,PC,NA,"PC(35:4),PC(O-36:4),PC(P-36:3)",NA,NA,NA,NA,NA,NA,12524,E3,NA
MIX,1,PC,NA,"PC(36:3),PC(P-37:2)",NA,NA,NA,NA,NA,NA,12524,E3,NA
MIX,1,PC,NA,"PC(36:4),PC(O-37:4)",NA,NA,NA,NA,NA,NA,12524,E3,NA
MIX,1,PC,NA,PC(36:5),NA,NA,NA,NA,NA,NA,12524,E3,NA
MIX,1,PC,NA,"PC(36:8),PC(35:1),PC(O-36:1),PC(P-36:0)",NA,NA,NA,NA,NA,NA,12524,E3,NA
MIX,1,PC,NA,"PC(37:4),PC(O-38:4),PC(P-38:3)",NA,NA,NA,NA,NA,NA,12524,E3,NA
MIX,1,PC,NA,"PC(37:6),PC(O-38:6),PC(P-38:5)",NA,NA,NA,NA,NA,NA,12524,E3,NA
MIX,1,PC,NA,"PC(37:7),PC(P-38:6),PC(36:0),PC(O-37:0)",NA,NA,NA,NA,NA,NA,12524,E3,NA
MIX,1,PC,NA,PC(38:3),NA,NA,NA,NA,NA,NA,12524,E3,NA
MIX,1,PC,NA,PC(38:4),NA,NA,NA,NA,NA,NA,12524,E3,NA
MIX,1,PC,NA,PC(38:5),NA,NA,NA,NA,NA,NA,12524,E3,NA
MIX,1,PC,NA,PC(38:6),NA,NA,NA,NA,NA,NA,12524,E3,NA
MIX,1,PC,NA,"PC(38:7),PC(37:0),PC(O-38:0)",NA,NA,NA,NA,NA,NA,12524,E3,NA
MIX,1,PC,NA,"PC(38:8),PC(37:1),PC(O-38:1),PC(P-38:0)",NA,NA,NA,NA,NA,NA,12524,E3,NA
MIX,1,PC,NA,"PC(38:9),PC(37:2),PC(O-38:2),PC(P-38:1)",NA,NA,NA,NA,NA,NA,12524,E3,NA
MIX,1,PC,NA,"PC(39:6),PC(O-40:6),PC(P-40:5)",NA,NA,NA,NA,NA,NA,12524,E3,NA
