Well,Well_Position,Omit,Sample_Name,Treatment,Tech_Rep,Target_Name,E,Task,Reporter,Quencher,CT,Ct_Mean,Ct_SD,Automatic_Ct_Threshold,Ct_Threshold,Automatic_Baseline,Baseline_Start,Baseline_End,Amp_Status,Comments,Cq_Conf,Tm1,HIGHSD,MTP,Tm2,Tm3,Tm4,CQCONF,EXPFAIL,AMPNC,PlateMap,Unique_Sam_Gene_PlateMap
1,A1,FALSE,a-030123-Control-1,Control,1,ACOX1,1.919933202,UNKNOWN,SYBR,None,25.772,25.857,0.12,TRUE,"33,133.24",TRUE,3,17,Amp,NA,0.982,83.294,NA,NA,NA,NA,NA,NA,NA,NA,1,a-030123-Control-1-ACOX1-1
1,A1,FALSE,a-030923-Control-4,Control,1,ACOX1,1.919933202,UNKNOWN,SYBR,None,26.39,26.446,0.08,TRUE,"29,972.01",TRUE,3,19,Amp,NA,0.978,83.294,NA,NA,NA,NA,NA,NA,NA,NA,2,a-030923-Control-4-ACOX1-2
1,A1,FALSE,a-030623-Control-6,Control,1,ACOX1,1.919933202,UNKNOWN,SYBR,None,28.078,28.129,0.073,TRUE,"32,818.25",TRUE,3,21,Amp,NA,0.98,83.464,NA,NA,NA,NA,NA,N,NA,NA,3,a-030623-Control-6-ACOX1-3
1,A1,FALSE,a-030323-Control-5,Control,1,ACOX1,1.919933202,UNKNOWN,SYBR,None,27.671,27.697,0.037,TRUE,"33,233.48",TRUE,3,18,Amp,NA,0.988,83.447,NA,NA,NA,NA,NA,NA,NA,NA,4,a-030323-Control-5-ACOX1-4
1,A1,FALSE,a-110922-Control-2,Control,1,ACOX1,1.919933202,UNKNOWN,SYBR,None,27.491,27.455,0.05,TRUE,"28,149.58",TRUE,3,20,Amp,NA,0.966,83.26,NA,NA,NA,NA,NA,NA,NA,NA,5,a-110922-Control-2-ACOX1-5
10,A10,FALSE,j-030523-PFHxS-10,PFHxS,1,ACOX1,1.919933202,UNKNOWN,SYBR,None,26.608,26.683,0.105,TRUE,"33,133.24",TRUE,3,21,Amp,NA,0.984,83.445,NA,NA,NA,NA,NA,NA,NA,NA,1,j-030523-PFHxS-10-ACOX1-1
10,A10,FALSE,j-110823-PFHxS-11,PFHxS,1,ACOX1,1.919933202,UNKNOWN,SYBR,None,26.728,26.751,0.032,TRUE,"29,972.01",TRUE,3,18,Amp,NA,0.988,83.441,NA,NA,NA,NA,NA,NA,NA,NA,2,j-110823-PFHxS-11-ACOX1-2
10,A10,FALSE,j-030823-PFHxS-8,PFHxS,1,ACOX1,1.919933202,UNKNOWN,SYBR,None,28.613,28.549,0.09,TRUE,"32,818.25",TRUE,3,22,Amp,NA,0.984,83.463,NA,NA,NA,NA,NA,N,NA,NA,3,j-030823-PFHxS-8-ACOX1-3
10,A10,FALSE,j-031023-PFHxS-9,PFHxS,1,ACOX1,1.919933202,UNKNOWN,SYBR,None,30.604,30.869,0.375,TRUE,"33,233.48",TRUE,3,22,Amp,NA,0.988,83.442,NA,NA,NA,NA,NA,NA,NA,NA,4,j-031023-PFHxS-9-ACOX1-4
10,A10,FALSE,NRT-B9-041723,NRT,1,ACOX1,1.919933202,NTC,SYBR,None,Undetermined,NA,NA,TRUE,"28,149.58",TRUE,3,33,Inconclusive,NA,0,75.556,NA,NA,NA,NA,NA,NA,NA,NA,5,NRT-B9-041723-ACOX1-5
11,A11,FALSE,m-030523-PFOA-11,PFOA,1,ACOX1,1.919933202,UNKNOWN,SYBR,None,25.321,25.527,0.292,TRUE,"33,133.24",TRUE,3,19,Amp,NA,0.983,83.445,NA,NA,NA,NA,NA,NA,NA,NA,1,m-030523-PFOA-11-ACOX1-1
11,A11,FALSE,m-110823-PFOA-10,PFOA,1,ACOX1,1.919933202,UNKNOWN,SYBR,None,27.132,27.189,0.081,TRUE,"29,972.01",TRUE,3,18,Amp,NA,0.989,83.288,NA,NA,NA,NA,NA,NA,NA,NA,2,m-110823-PFOA-10-ACOX1-2
11,A11,FALSE,m-030823-PFOA-8,PFOA,1,ACOX1,1.919933202,UNKNOWN,SYBR,None,27.725,27.62,0.147,TRUE,"32,818.25",TRUE,3,20,Amp,NA,0.992,83.461,NA,NA,NA,NA,NA,N,NA,NA,3,m-030823-PFOA-8-ACOX1-3
11,A11,FALSE,m-031023-PFOA-6,PFOA,1,ACOX1,1.919933202,UNKNOWN,SYBR,None,27.077,27.358,0.397,TRUE,"33,233.48",TRUE,3,21,Amp,NA,0.99,83.444,NA,NA,NA,NA,NA,NA,NA,NA,4,m-031023-PFOA-6-ACOX1-4
12,A12,FALSE,p-030523-PFOS-12,PFOS,1,ACOX1,1.919933202,UNKNOWN,SYBR,None,25.679,25.649,0.042,TRUE,"33,133.24",TRUE,3,21,Amp,NA,0.984,83.292,NA,NA,NA,NA,NA,NA,NA,NA,1,p-030523-PFOS-12-ACOX1-1
12,A12,FALSE,p-110823-PFOS-6,PFOS,1,ACOX1,1.919933202,UNKNOWN,SYBR,None,27.415,27.484,0.096,TRUE,"29,972.01",TRUE,3,22,Amp,NA,0.99,83.288,NA,NA,NA,NA,NA,NA,NA,NA,2,p-110823-PFOS-6-ACOX1-2
12,A12,FALSE,p-030823-PFOS-9,PFOS,1,ACOX1,1.919933202,UNKNOWN,SYBR,None,27.618,27.695,0.109,TRUE,"32,818.25",TRUE,3,21,Amp,NA,0.988,83.461,NA,NA,NA,NA,NA,N,NA,NA,3,p-030823-PFOS-9-ACOX1-3
12,A12,FALSE,p-031023-PFOS-8,PFOS,1,ACOX1,1.919933202,UNKNOWN,SYBR,None,28.473,28.368,0.148,TRUE,"33,233.48",TRUE,3,22,Amp,NA,0.991,83.444,NA,NA,NA,NA,NA,NA,NA,NA,4,p-031023-PFOS-8-ACOX1-4
12,A12,FALSE,NTC-041723,NTC,1,ACOX1,1.919933202,NTC,SYBR,None,Undetermined,NA,NA,TRUE,"28,149.58",TRUE,3,39,No Amp,NA,0,62.266,NA,NA,NA,NA,NA,NA,NA,NA,5,NTC-041723-ACOX1-5
2,A2,FALSE,d-030123-MIX-12,MIX,1,ACOX1,1.919933202,UNKNOWN,SYBR,None,27.54,27.559,0.026,TRUE,"33,133.24",TRUE,3,19,Amp,NA,0.981,83.446,NA,NA,NA,NA,NA,NA,NA,NA,1,d-030123-MIX-12-ACOX1-1
2,A2,FALSE,d-030923-MIX-6,MIX,1,ACOX1,1.919933202,UNKNOWN,SYBR,None,25.861,25.897,0.051,TRUE,"29,972.01",TRUE,3,16,Amp,NA,0.989,83.294,NA,NA,NA,NA,NA,NA,NA,NA,2,d-030923-MIX-6-ACOX1-2
2,A2,FALSE,d-030623-MIX-4,MIX,1,ACOX1,1.919933202,UNKNOWN,SYBR,None,27.316,27.266,0.071,TRUE,"32,818.25",TRUE,3,21,Amp,NA,0.983,83.464,NA,NA,NA,NA,NA,N,NA,NA,3,d-030623-MIX-4-ACOX1-3
2,A2,FALSE,d-030323-MIX-5,MIX,1,ACOX1,1.919933202,UNKNOWN,SYBR,None,27.067,27.04,0.038,TRUE,"33,233.48",TRUE,3,20,Amp,NA,0.984,83.447,NA,NA,NA,NA,NA,NA,NA,NA,4,d-030323-MIX-5-ACOX1-4
2,A2,FALSE,d-110922-MIX-11,MIX,1,ACOX1,1.919933202,UNKNOWN,SYBR,None,28.44,28.265,0.247,TRUE,"28,149.58",TRUE,3,22,Amp,NA,0.992,83.26,NA,NA,NA,NA,NA,NA,NA,NA,5,d-110922-MIX-11-ACOX1-5
3,A3,FALSE,g-030123-PFHxA-1,PFHxA,1,ACOX1,1.919933202,UNKNOWN,SYBR,None,27.703,27.863,0.226,TRUE,"33,133.24",TRUE,3,21,Amp,NA,0.984,83.447,NA,NA,NA,NA,NA,NA,NA,NA,1,g-030123-PFHxA-1-ACOX1-1
3,A3,FALSE,g-030923-PFHxA-7,PFHxA,1,ACOX1,1.919933202,UNKNOWN,SYBR,None,27.062,27.08,0.025,TRUE,"29,972.01",TRUE,3,19,Amp,NA,0.984,83.441,NA,NA,NA,NA,NA,NA,NA,NA,2,g-030923-PFHxA-7-ACOX1-2
3,A3,FALSE,g-030623-PFHxA-2,PFHxA,1,ACOX1,1.919933202,UNKNOWN,SYBR,None,Undetermined,26.53,NA,TRUE,"32,818.25",TRUE,3,14,No Amp,NA,0,60.001,NA,NA,NA,NA,NA,Y,NA,NA,3,g-030623-PFHxA-2-ACOX1-3
3,A3,FALSE,g-030323-PFHxA-5,PFHxA,1,ACOX1,1.919933202,UNKNOWN,SYBR,None,28.095,28.156,0.086,TRUE,"33,233.48",TRUE,3,19,Amp,NA,0.977,83.446,NA,NA,NA,NA,NA,NA,NA,NA,4,g-030323-PFHxA-5-ACOX1-4
3,A3,FALSE,g2-110922-PFHxA-4,PFHxA,1,ACOX1,1.919933202,UNKNOWN,SYBR,None,27.521,27.458,0.088,TRUE,"28,149.58",TRUE,3,21,Amp,NA,0.988,83.26,NA,NA,NA,NA,NA,NA,NA,NA,5,g2-110922-PFHxA-4-ACOX1-5
4,A4,FALSE,j-030123-PFHxS-1,PFHxS,1,ACOX1,1.919933202,UNKNOWN,SYBR,None,27.484,27.471,0.018,TRUE,"33,133.24",TRUE,3,21,Amp,NA,0.985,83.447,NA,NA,NA,NA,NA,NA,NA,NA,1,j-030123-PFHxS-1-ACOX1-1
4,A4,FALSE,j-030923-PFHxS-7,PFHxS,1,ACOX1,1.919933202,UNKNOWN,SYBR,None,27.446,27.379,0.094,TRUE,"29,972.01",TRUE,3,18,Amp,NA,0.987,83.441,NA,NA,NA,NA,NA,NA,NA,NA,2,j-030923-PFHxS-7-ACOX1-2
4,A4,FALSE,j-030623-PFHxS-6,PFHxS,1,ACOX1,1.919933202,UNKNOWN,SYBR,None,26.892,26.943,0.072,TRUE,"32,818.25",TRUE,3,20,Amp,NA,0.964,83.311,NA,NA,NA,NA,NA,N,NA,NA,3,j-030623-PFHxS-6-ACOX1-3
4,A4,FALSE,j-030323-PFHxS-2,PFHxS,1,ACOX1,1.919933202,UNKNOWN,SYBR,None,26.847,26.951,0.148,TRUE,"33,233.48",TRUE,3,18,Amp,NA,0.985,83.446,NA,NA,NA,NA,NA,NA,NA,NA,4,j-030323-PFHxS-2-ACOX1-4
4,A4,FALSE,j-110922-PFHxS-12,PFHxS,1,ACOX1,1.919933202,UNKNOWN,SYBR,None,27.835,27.95,0.163,TRUE,"28,149.58",TRUE,3,19,Amp,NA,0.985,83.26,NA,NA,NA,NA,NA,NA,NA,NA,5,j-110922-PFHxS-12-ACOX1-5
5,A5,FALSE,m-030123-PFOA-1,PFOA,1,ACOX1,1.919933202,UNKNOWN,SYBR,None,27.135,27.266,0.186,TRUE,"33,133.24",TRUE,3,19,Amp,NA,0.99,83.299,NA,NA,NA,NA,NA,NA,NA,NA,1,m-030123-PFOA-1-ACOX1-1
5,A5,FALSE,m-030923-PFOA-9,PFOA,1,ACOX1,1.919933202,UNKNOWN,SYBR,None,26.093,26.221,0.182,TRUE,"29,972.01",TRUE,3,18,Amp,NA,0.987,83.296,NA,NA,NA,NA,NA,NA,NA,NA,2,m-030923-PFOA-9-ACOX1-2
5,A5,FALSE,m-030623-PFOA-4,PFOA,1,ACOX1,1.919933202,UNKNOWN,SYBR,None,26.76,26.752,0.011,TRUE,"32,818.25",TRUE,3,18,Amp,NA,0.988,83.314,NA,NA,NA,NA,NA,N,NA,NA,3,m-030623-PFOA-4-ACOX1-3
5,A5,FALSE,m-030323-PFOA-2,PFOA,1,ACOX1,1.919933202,UNKNOWN,SYBR,None,27.058,27.082,0.035,TRUE,"33,233.48",TRUE,3,20,Amp,NA,0.987,83.445,NA,NA,NA,NA,NA,NA,NA,NA,4,m-030323-PFOA-2-ACOX1-4
5,A5,FALSE,m-110922-PFOA-12,PFOA,1,ACOX1,1.919933202,UNKNOWN,SYBR,None,34.277,34.282,0.006,TRUE,"28,149.58",TRUE,3,28,Amp,NA,0.989,83.262,NA,NA,NA,NA,NA,NA,NA,NA,5,m-110922-PFOA-12-ACOX1-5
6,A6,FALSE,p-030123-PFOS-1,PFOS,1,ACOX1,1.919933202,UNKNOWN,SYBR,None,27.338,27.365,0.039,TRUE,"33,133.24",TRUE,3,21,Amp,NA,0.989,83.299,NA,NA,NA,NA,NA,NA,NA,NA,1,p-030123-PFOS-1-ACOX1-1
6,A6,FALSE,p-030923-PFOS-2,PFOS,1,ACOX1,1.919933202,UNKNOWN,SYBR,None,27.714,27.611,0.146,TRUE,"29,972.01",TRUE,3,21,Amp,NA,0.985,83.296,NA,NA,NA,NA,NA,NA,NA,NA,2,p-030923-PFOS-2-ACOX1-2
6,A6,FALSE,p-030623-PFOS-7,PFOS,1,ACOX1,1.919933202,UNKNOWN,SYBR,None,26.845,26.958,0.159,TRUE,"32,818.25",TRUE,3,19,Amp,NA,0.987,83.314,NA,NA,NA,NA,NA,N,NA,NA,3,p-030623-PFOS-7-ACOX1-3
6,A6,FALSE,p-030323-PFOS-5,PFOS,1,ACOX1,1.919933202,UNKNOWN,SYBR,None,27.473,27.575,0.144,TRUE,"33,233.48",TRUE,3,19,Amp,NA,0.987,83.293,NA,NA,NA,NA,NA,NA,NA,NA,4,p-030323-PFOS-5-ACOX1-4
6,A6,FALSE,p-110922-PFOS-3,PFOS,1,ACOX1,1.919933202,UNKNOWN,SYBR,None,26.988,26.947,0.059,TRUE,"28,149.58",TRUE,3,18,Amp,NA,0.986,83.111,NA,NA,NA,NA,NA,NA,NA,NA,5,p-110922-PFOS-3-ACOX1-5
7,A7,FALSE,a-030523-Control-12,Control,1,ACOX1,1.919933202,UNKNOWN,SYBR,None,27.663,27.859,0.277,TRUE,"33,133.24",TRUE,3,22,Amp,NA,0.988,83.444,NA,NA,NA,NA,NA,NA,NA,NA,1,a-030523-Control-12-ACOX1-1
7,A7,FALSE,a-110823-Control-3,Control,1,ACOX1,1.919933202,UNKNOWN,SYBR,None,28.213,28.236,0.033,TRUE,"29,972.01",TRUE,3,21,Amp,NA,0.989,83.443,NA,NA,NA,NA,NA,NA,NA,NA,2,a-110823-Control-3-ACOX1-2
7,A7,FALSE,a-030823-Control-8,Control,1,ACOX1,1.919933202,UNKNOWN,SYBR,None,28.198,28.278,0.113,TRUE,"32,818.25",TRUE,3,20,Amp,NA,0.985,83.309,NA,NA,NA,NA,NA,N,NA,NA,3,a-030823-Control-8-ACOX1-3
7,A7,FALSE,a-031023-Control-9,Control,1,ACOX1,1.919933202,UNKNOWN,SYBR,None,28.139,28.091,0.068,TRUE,"33,233.48",TRUE,3,22,Amp,NA,0.984,83.443,NA,NA,NA,NA,NA,NA,NA,NA,4,a-031023-Control-9-ACOX1-4
8,A8,FALSE,d-030523-MIX-3,MIX,1,ACOX1,1.919933202,UNKNOWN,SYBR,None,26.607,26.531,0.106,TRUE,"33,133.24",TRUE,3,18,Amp,NA,0.99,83.292,NA,NA,NA,NA,NA,NA,NA,NA,1,d-030523-MIX-3-ACOX1-1
8,A8,FALSE,d-110823-MIX-1,MIX,1,ACOX1,1.919933202,UNKNOWN,SYBR,None,27.767,27.793,0.037,TRUE,"29,972.01",TRUE,3,21,Amp,NA,0.991,83.291,NA,NA,NA,NA,NA,NA,NA,NA,2,d-110823-MIX-1-ACOX1-2
8,A8,FALSE,d-030823-MIX-9,MIX,1,ACOX1,1.919933202,UNKNOWN,SYBR,None,27.664,27.792,0.181,TRUE,"32,818.25",TRUE,3,16,Amp,NA,0.988,83.462,NA,NA,NA,NA,NA,N,NA,NA,3,d-030823-MIX-9-ACOX1-3
8,A8,FALSE,d-031023-MIX-8,MIX,1,ACOX1,1.919933202,UNKNOWN,SYBR,None,27.503,27.543,0.056,TRUE,"33,233.48",TRUE,3,17,Amp,NA,0.992,83.443,NA,NA,NA,NA,NA,NA,NA,NA,4,d-031023-MIX-8-ACOX1-4
8,A8,FALSE,IP-Control-041723,IP,1,ACOX1,1.919933202,UNKNOWN,SYBR,None,28.073,28.033,0.056,TRUE,"28,149.58",TRUE,3,19,Amp,NA,0.98,79.481,NA,NA,NA,NA,NA,NA,NA,NA,5,IP-Control-041723-ACOX1-5
9,A9,FALSE,g-030523-PFHxA-3,PFHxA,1,ACOX1,1.919933202,UNKNOWN,SYBR,None,26.599,26.529,0.099,TRUE,"33,133.24",TRUE,3,19,Amp,NA,0.993,83.293,NA,NA,NA,NA,NA,NA,NA,NA,1,g-030523-PFHxA-3-ACOX1-1
9,A9,FALSE,g-110823-PFHxA-12,PFHxA,1,ACOX1,1.919933202,UNKNOWN,SYBR,None,27.429,27.563,0.19,TRUE,"29,972.01",TRUE,3,17,Amp,NA,0.995,83.289,NA,NA,NA,NA,NA,NA,NA,NA,2,g-110823-PFHxA-12-ACOX1-2
9,A9,FALSE,g-030823-PFHxA-6,PFHxA,1,ACOX1,1.919933202,UNKNOWN,SYBR,None,27.469,27.356,0.16,TRUE,"32,818.25",TRUE,3,19,Amp,NA,0.987,83.463,NA,NA,NA,NA,NA,N,NA,NA,3,g-030823-PFHxA-6-ACOX1-3
9,A9,FALSE,g-031023-PFHxA-8,PFHxA,1,ACOX1,1.919933202,UNKNOWN,SYBR,None,26.751,26.797,0.065,TRUE,"33,233.48",TRUE,3,20,Amp,NA,0.985,83.442,NA,NA,NA,NA,NA,NA,NA,NA,4,g-031023-PFHxA-8-ACOX1-4
13,B1,FALSE,a-030123-Control-1,Control,2,ACOX1,1.919933202,UNKNOWN,SYBR,None,25.942,25.857,0.12,TRUE,"33,133.24",TRUE,3,18,Amp,NA,0.981,83.294,NA,NA,NA,NA,NA,NA,NA,NA,1,a-030123-Control-1-ACOX1-1
13,B1,FALSE,a-030923-Control-4,Control,2,ACOX1,1.919933202,UNKNOWN,SYBR,None,26.502,26.446,0.08,TRUE,"29,972.01",TRUE,3,19,Amp,NA,0.983,83.294,NA,NA,NA,NA,NA,NA,NA,NA,2,a-030923-Control-4-ACOX1-2
13,B1,FALSE,a-030623-Control-6,Control,2,ACOX1,1.919933202,UNKNOWN,SYBR,None,28.18,28.129,0.073,TRUE,"32,818.25",TRUE,3,19,Amp,NA,0.979,83.311,NA,NA,NA,NA,NA,N,NA,NA,3,a-030623-Control-6-ACOX1-3
13,B1,FALSE,a-030323-Control-5,Control,2,ACOX1,1.919933202,UNKNOWN,SYBR,None,27.722,27.697,0.037,TRUE,"33,233.48",TRUE,3,20,Amp,NA,0.985,83.295,NA,NA,NA,NA,NA,NA,NA,NA,4,a-030323-Control-5-ACOX1-4
13,B1,FALSE,a-110922-Control-2,Control,2,ACOX1,1.919933202,UNKNOWN,SYBR,None,27.42,27.455,0.05,TRUE,"28,149.58",TRUE,3,19,Amp,NA,0.984,83.26,NA,NA,NA,NA,NA,NA,NA,NA,5,a-110922-Control-2-ACOX1-5
22,B10,FALSE,j-030523-PFHxS-10,PFHxS,2,ACOX1,1.919933202,UNKNOWN,SYBR,None,26.757,26.683,0.105,TRUE,"33,133.24",TRUE,3,19,Amp,NA,0.985,83.293,NA,NA,NA,NA,NA,NA,NA,NA,1,j-030523-PFHxS-10-ACOX1-1
22,B10,FALSE,j-110823-PFHxS-11,PFHxS,2,ACOX1,1.919933202,UNKNOWN,SYBR,None,26.774,26.751,0.032,TRUE,"29,972.01",TRUE,3,19,Amp,NA,0.987,83.289,NA,NA,NA,NA,NA,NA,NA,NA,2,j-110823-PFHxS-11-ACOX1-2
22,B10,FALSE,j-030823-PFHxS-8,PFHxS,2,ACOX1,1.919933202,UNKNOWN,SYBR,None,28.485,28.549,0.09,TRUE,"32,818.25",TRUE,3,21,Amp,NA,0.991,83.311,NA,NA,NA,NA,NA,N,NA,NA,3,j-030823-PFHxS-8-ACOX1-3
22,B10,FALSE,j-031023-PFHxS-9,PFHxS,2,ACOX1,1.919933202,UNKNOWN,SYBR,None,31.134,30.869,0.375,TRUE,"33,233.48",TRUE,3,25,Amp,NA,0.976,83.442,NA,NA,NA,NA,NA,NA,NA,NA,4,j-031023-PFHxS-9-ACOX1-4
22,B10,FALSE,NRT-B9-041723,NRT,2,ACOX1,1.919933202,NTC,SYBR,None,Undetermined,NA,NA,TRUE,"28,149.58",TRUE,3,39,No Amp,NA,0,63.625,NA,NA,NA,NA,NA,NA,NA,NA,5,NRT-B9-041723-ACOX1-5
23,B11,FALSE,m-030523-PFOA-11,PFOA,2,ACOX1,1.919933202,UNKNOWN,SYBR,None,25.734,25.527,0.292,TRUE,"33,133.24",TRUE,3,19,Amp,NA,0.983,83.292,NA,NA,NA,NA,NA,NA,NA,NA,1,m-030523-PFOA-11-ACOX1-1
23,B11,FALSE,m-110823-PFOA-10,PFOA,2,ACOX1,1.919933202,UNKNOWN,SYBR,None,27.246,27.189,0.081,TRUE,"29,972.01",TRUE,3,20,Amp,NA,0.991,83.288,NA,NA,NA,NA,NA,NA,NA,NA,2,m-110823-PFOA-10-ACOX1-2
23,B11,FALSE,m-030823-PFOA-8,PFOA,2,ACOX1,1.919933202,UNKNOWN,SYBR,None,27.516,27.62,0.147,TRUE,"32,818.25",TRUE,3,20,Amp,NA,0.993,83.308,NA,NA,NA,NA,NA,N,NA,NA,3,m-030823-PFOA-8-ACOX1-3
23,B11,FALSE,m-031023-PFOA-6,PFOA,2,ACOX1,1.919933202,UNKNOWN,SYBR,None,27.638,27.358,0.397,TRUE,"33,233.48",TRUE,3,19,Amp,NA,0.987,83.292,NA,NA,NA,NA,NA,NA,NA,NA,4,m-031023-PFOA-6-ACOX1-4
24,B12,FALSE,p-030523-PFOS-12,PFOS,2,ACOX1,1.919933202,UNKNOWN,SYBR,None,25.619,25.649,0.042,TRUE,"33,133.24",TRUE,3,17,Amp,NA,0.988,83.292,NA,NA,NA,NA,NA,NA,NA,NA,1,p-030523-PFOS-12-ACOX1-1
