Org_Order,Date,Experimental_Day,dpf,Treatment,Individual_ID,#_Individual_ID,Block,NF_Stage,SVL,Mass,Time_Death,Scoliosis,Severity,Fat_Body_Mass,Whole_Liver_Mass,HSI,Mol_Liver_Mass,Tail_Clip,Post_Dissection_Wet_Mass
13,18-Jun,14,30,PFHxS,PFHxS 1,1,1,58,22.64,0.9304,14:22,Y,mild,0.0023,0.0076,0.816852966,0.0021,0.003,0.9551
61,18-Jun,14,30,PFOS,PFOS 1,1,1,58,23.66,0.9638,13:53,N,NA,0.002,0.0072,0.747042955,0.0019,0.0054,1.0049
1,19-Jun,15,31,Control,Control 1,1,1,58,23.72,0.8758,13:35,N,NA,0.0018,0.0084,0.959123087,0.0021,0.0041,0.8712
2,19-Jun,15,31,Control,Control 32,32,3,58,24.69,0.96,16:29,N,NA,0.0021,0.0068,0.708333333,0.003,0.0046,0.9722
14,19-Jun,15,31,PFHxS,PFHxS 19,19,2,58,24.28,0.992,15:28,N,NA,0.0016,0.0073,0.735887097,0.003,0.0037,0.9741
15,19-Jun,15,31,PFHxS,PFHxS 7,7,1,58,22.82,0.9388,13:14,N,NA,0.0024,0.0078,0.830847891,0.0024,0.0058,0.9442
16,19-Jun,15,31,PFHxS,PFHxS 17,17,2,58,21.95,0.9464,14:30,Y,mild,0.0018,0.0081,0.855874894,0.0025,0.0032,0.9734
25,19-Jun,15,31,PFOA,PFOA 11,11,1,58,23.79,0.8204,13:52,N,NA,0.0019,0.0059,0.719161385,0.002,0.0043,0.888
26,19-Jun,15,31,PFOA,PFOA 15,15,2,58,23.45,0.8452,14:28,Y,mild,0.0015,0.0075,0.887363938,0.002,0.0041,0.8362
37,19-Jun,15,31,MIX,MIX 6,6,1,58,22.8,0.8006,13:45,Y,mild,0.0011,0.006,0.749437922,0.0013,0.0055,0.7592
38,19-Jun,15,31,MIX,MIX 10,10,1,58,24.66,1.0956,14:05,N,NA,0.0037,0.009,0.821467689,0.0027,0.0059,1.0993
39,19-Jun,15,31,MIX,MIX 16,16,2,58,22.44,0.8464,14:37,Y,mild,0.0011,0.007,0.827032136,0.0016,0.0035,0.7938
40,19-Jun,15,31,MIX,MIX 30,30,3,58,22.08,0.8394,16:03,Y,mild,0.0017,0.0076,0.905408625,0.0026,0.0057,0.8235
49,19-Jun,15,31,PFHxA,PFHxA 26,26,3,58,23.82,0.858,15:48,Y,mild,0.0016,0.0083,0.967365967,0.0024,0.0031,0.851
50,19-Jun,15,31,PFHxA,PFHxA 33,33,3,58,22.5,0.8052,16:20,Y,mild,0.0016,0.0073,0.906607054,0.00281,0.0042,0.7516
62,19-Jun,15,31,PFOS,PFOS 12,12,1,58,23.6,0.8254,14:14,Y,mild,0.0016,0.0071,0.860188999,0.0029,0.0041,0.8117
63,19-Jun,15,31,PFOS,PFOS 21,21,2,58,23.39,0.852,15:38,N,NA,0.0017,0.0064,0.751173709,0.0021,0.0056,0.831
64,19-Jun,15,31,PFOS,PFOS 36,36,3,58,22.92,0.8938,16:50,Y,severe,0.0014,0.0078,0.872678452,0.0031,0.0048,0.9099
3,20-Jun,16,32,Control,Control 4,4,1,58,22.02,0.78,13:05,Y,mild,0.0023,0.0059,0.756410256,0.0025,0.002,0.8283
4,20-Jun,16,32,Control,Control 16,16,2,58,19.28,0.9559,14:00,Y,very mild,0.0016,0.008,0.836907626,0.0029,0.0043,0.9354
5,20-Jun,16,32,Control,Control 27,27,3,59,24.65,1.0278,16:39,Y,severe,0.0019,0.0101,0.982681456,0.0035,0.0036,0.9934
6,20-Jun,16,32,Control,Control 36,36,3,58,24.39,0.9206,18:25,Y,mild,0.0024,0.0095,1.031935694,0.0024,0.0017,0.927
7,20-Jun,16,32,Control,Control 20,20,2,58,21.11,0.9474,19:45,N,NA,0.0018,0.0073,0.770529871,0.0015,0.0019,0.9475
8,20-Jun,16,32,Control,Control 11,11,1,58,22.05,0.9596,22:16,N,NA,0.0014,0.0071,0.739891622,0.0027,0.0023,0.9175
17,20-Jun,16,32,PFHxS,PFHxS 27,27,3,58,23.16,0.9746,16:16,N,NA,0.0019,0.0069,0.707982762,0.0017,0.0021,0.9181
18,20-Jun,16,32,PFHxS,PFHxS 28,28,3,58,23.65,0.9304,17:17,N,NA,0.0014,0.005,0.537403267,0.002,0.003,0.8491
19,20-Jun,16,32,PFHxS,PFHxS 24,24,2,58,21.88,0.9098,21:15,Y,mild,0.0025,0.0065,0.714442735,0.0025,0.0046,0.8614
20,20-Jun,16,32,PFHxS,PFHxS 15,15,2,58,22.79,0.9444,22:08,Y,mild,0.0031,0.0057,0.603557814,0.0023,0.0041,0.9067
27,20-Jun,16,32,PFOA,PFOA 1,1,1,58,21.05,0.8285,12:34,Y,mild,0.0015,0.0063,0.76041038,0.0019,0.0073,0.855
28,20-Jun,16,32,PFOA,PFOA 22,22,2,58,19.5,0.8101,14:15,N,NA,0.0016,0.0068,0.839402543,0.0015,0.0049,0.7987
29,20-Jun,16,32,PFOA,PFOA 33,33,3,58,24.26,0.955,18:18,Y,severe,0.0022,0.0074,0.77486911,0.0019,0.0044,0.9442
